date,prices,market_caps,total_volumes
2022-01-31,2.1130045e-05,11602623372.202707,400610412.5343556
2022-02-01,2.1467615e-05,11756688735.5715,436379800.62267196
2022-02-02,2.1768254e-05,11968677787.268684,441652052.6826358
2022-02-03,2.0670175e-05,11350990594.158522,410515852.9568076
2022-02-04,2.0718589999999998e-05,11344790726.459717,343095315.93990725
2022-02-05,2.2229346e-05,12094480485.026075,506691780.70768565
2022-02-06,2.2546553e-05,12452437275.361988,722735976.4518359
2022-02-07,2.8054708e-05,15200312934.386713,1975345165.9044583
2022-02-08,3.2660484e-05,17996509835.50502,4385558265.264004
2022-02-09,3.1180731e-05,17162532744.32854,3278727804.41097
2022-02-10,3.2916456e-05,18020597497.900524,2179120524.1059003
2022-02-11,3.0775447e-05,16932401875.830204,1721818583.6802182
2022-02-12,2.8667074e-05,15700577705.065733,1411776973.3284688
2022-02-13,2.9088848e-05,15912207081.38719,1157808711.7950344
2022-02-14,3.0356003e-05,16651524894.182222,1418811957.4300253
2022-02-15,2.9632208e-05,16306784772.023214,1050175783.359356
2022-02-16,3.1244106e-05,17207573484.71097,1074310401.5874808
2022-02-17,3.0958195e-05,17037605985.41222,959362487.0942881
2022-02-18,2.8220926e-05,15529277124.247095,1397022929.0723503
2022-02-19,2.8173669e-05,15498850075.622929,1000990684.5188631
2022-02-20,2.7560599e-05,15112682932.965593,633459715.6979043
2022-02-21,2.5543439e-05,14103323196.161667,866721529.0131574
2022-02-22,2.4185504e-05,13315491377.609507,1366207974.9838195
2022-02-23,2.4949113e-05,13728425509.941042,1019562057.9947932
2022-02-24,2.5080538e-05,13805165295.329622,1173457749.8242674
2022-02-25,2.3828052e-05,13023245442.321255,2241901064.7086635
2022-02-26,2.4805189999999997e-05,13641788173.579737,1165209600.220238
2022-02-27,2.4423426e-05,13395687378.370039,753269712.533618
2022-02-28,2.3514441e-05,12907814586.07569,826229513.0993412
2022-03-01,2.5780103999999998e-05,14134311194.279541,1041636481.295012
2022-03-02,2.7116447999999998e-05,14822984829.682564,1403872043.4160404
2022-03-03,2.5912222e-05,14244751345.831871,927747531.2786207
2022-03-04,2.5118246e-05,13810601602.333324,637372006.4127262
2022-03-05,2.3544275e-05,12932977156.83323,645258451.8634522
2022-03-06,2.4618432e-05,13508392809.956453,476430323.9554367
2022-03-07,2.3593122e-05,12938567153.409023,412728405.8433502
2022-03-08,2.289425e-05,12557081524.876762,572828456.9999093
2022-03-09,2.2902665e-05,12580005997.882645,452495956.9687337
2022-03-10,2.3866126e-05,13093241207.7251,620722159.2820823
2022-03-11,2.2647243e-05,12438234313.251108,522626573.9152405
2022-03-12,2.2141011e-05,12227303331.64573,473532886.18745387
2022-03-13,2.2178876e-05,12193927654.621475,276216232.6619441
2022-03-14,2.1547229999999998e-05,11819887906.446552,425715521.11482716
2022-03-15,2.2046573e-05,12082037933.401396,417407452.6840221
2022-03-16,2.1640544e-05,11925872131.039532,464469301.58206344
2022-03-17,2.2637086999999998e-05,12413271020.384619,550326226.6309437
2022-03-18,2.2224897e-05,12199558705.696281,398732964.81753904
2022-03-19,2.2335287e-05,12286873605.5567,478151828.22175604
2022-03-20,2.4133979e-05,13248855776.675047,1298643612.402642
2022-03-21,2.3135079e-05,12688551225.994473,792884345.0654821
2022-03-22,2.2935911e-05,12579713402.854502,481893826.67487645
2022-03-23,2.3482469e-05,12899333886.856571,674693557.3514581
2022-03-24,2.4488653e-05,13442087409.538717,847788709.0289886
2022-03-25,2.4618631e-05,13546675510.668104,918471364.5396351
2022-03-26,2.4139482e-05,13263961474.306007,793502056.0887383
2022-03-27,2.4428279e-05,13420719188.429201,388523792.8055381
2022-03-28,2.5466313e-05,13964121285.187584,689350031.6832128
2022-03-29,2.6461942e-05,14843234788.28952,3106812680.5562057
2022-03-30,2.7318236e-05,14890206575.92428,1833191563.0688932
2022-03-31,2.7557029e-05,15162738459.141796,1463013056.1741107
2022-04-01,2.5874423e-05,14176226681.047014,1229503082.760152
2022-04-02,2.6117076999999998e-05,14289805180.464699,988740054.0812064
2022-04-03,2.5805287e-05,14236341994.569195,1027425083.6886821
2022-04-04,2.6739271e-05,14673799826.615377,778385386.0890268
2022-04-05,2.6503568e-05,14539584856.894785,949070569.4976612
2022-04-06,2.6771551e-05,14781241048.436924,1455551472.8081071
2022-04-07,2.4357857e-05,13420039729.689783,1353002331.678918
2022-04-08,2.4818667e-05,13624054865.26313,666965383.7058837
2022-04-09,2.3750484999999998e-05,13000941819.425255,579620424.328705
2022-04-10,2.4626636e-05,13504833377.483286,452636671.8846444
2022-04-11,2.4611809e-05,13575980057.882925,671969889.7453766
2022-04-12,2.211349e-05,12174150236.891218,732793243.9628198
2022-04-13,2.7133453999999998e-05,14835702148.313147,4285464874.1112485
2022-04-14,2.6777021e-05,14699586283.149477,2156760176.9308753
2022-04-15,2.5799851e-05,14171793817.45948,1307892389.8331149
2022-04-16,2.5897522e-05,14228331269.836151,499122767.58084655
2022-04-17,2.5666765e-05,14132038551.059696,338943155.88060147
2022-04-18,2.4740332999999998e-05,13570063390.01228,423063930.72002655
2022-04-19,2.5267059e-05,13804286844.485497,792327666.1825962
2022-04-20,2.5364554e-05,13919064828.436396,584313901.1596926
2022-04-21,2.4865164999999998e-05,13646970279.39165,663390184.2766109
2022-04-22,2.4306948e-05,13342208882.027237,545594099.458596
2022-04-23,2.4344871e-05,13352243740.002098,433606900.9323569
2022-04-24,2.4184450999999998e-05,13293580766.86832,362501244.333771
2022-04-25,2.3948712e-05,13194380740.459124,332199018.7762571
2022-04-26,2.4404259e-05,13426295566.494673,1263566900.2669208
2022-04-27,2.299864e-05,12625189610.808273,865842129.2141542
2022-04-28,2.3460862e-05,12853390713.359592,744278328.7349842
2022-04-29,2.2930439e-05,12551578471.987076,518927677.2106596
2022-04-30,2.2216769e-05,12214685036.71869,781193946.6346067
2022-05-01,2.0237321e-05,11030189184.585482,802125117.2972369
2022-05-02,2.1602500000000002e-05,11878273035.476326,914995367.8927312
2022-05-03,2.0708568e-05,11354575608.125498,674365134.3553098
2022-05-04,2.0337682e-05,11194297614.982563,484828063.6335076
2022-05-05,2.1762928e-05,11891252606.334517,644623186.6744816
2022-05-06,2.036404e-05,11137353977.493977,758367854.4240358
2022-05-07,2.0042226e-05,11019362533.610136,627513167.4958752
2022-05-08,1.9316126e-05,10626649525.761244,483348833.61988485
2022-05-09,1.8416612999999998e-05,10103598479.786917,556186571.032994
2022-05-10,1.4486353e-05,7992754070.258301,1516157330.4982471
2022-05-11,1.6208341e-05,8866841184.124313,1996102712.0699036
2022-05-12,1.1986207999999999e-05,6682931472.124305,1757963711.2743745
2022-05-13,1.0929454e-05,6028008652.262879,1465677670.7012305
2022-05-14,1.2792679e-05,7038488029.51926,1570099967.352694
2022-05-15,1.2553553e-05,6874677133.842992,930565481.140064
2022-05-16,1.3008226e-05,7129634161.921655,519377571.3146766
2022-05-17,1.20286e-05,6598411019.260206,615263006.4725634
2022-05-18,1.2579224e-05,6918725570.985796,507584249.7816733
2022-05-19,1.1554649e-05,6351908854.37443,426217937.401539
2022-05-20,1.1865361e-05,6519624393.905894,394485963.3211678
2022-05-21,1.1637964e-05,6393164392.091825,314561571.6978656
2022-05-22,1.1779374e-05,6481330848.057108,251773244.1785939
2022-05-23,1.195103e-05,6562771403.930445,337548730.42518294
2022-05-24,1.1680975e-05,6420698879.648171,683784147.5294232
2022-05-25,1.1730608e-05,6442665139.230963,386855749.89763516
2022-05-26,1.1602385e-05,6366709432.626448,266345363.6186528
2022-05-27,1.0658865e-05,5854852203.64088,502730087.83059597
2022-05-28,1.0432888e-05,5719059995.3735,394453890.3254805
2022-05-29,1.0799737e-05,5940723308.479626,217373342.01396057
2022-05-30,1.1499152e-05,6317150621.417464,413858751.9210769
2022-05-31,1.2186119e-05,6700802268.627955,633368000.1249989
2022-06-01,1.1813386e-05,6480679098.893814,469348991.643896
2022-06-02,1.0910143e-05,6000965718.119397,417091844.37798494
2022-06-03,1.1224778e-05,6171500968.234047,291100816.94853914
2022-06-04,1.0830867999999999e-05,5925963921.889924,260317990.46077403
2022-06-05,1.0898796e-05,5963683217.019877,175981151.75392106
2022-06-06,1.0807324999999999e-05,5946891212.383783,174242499.78239787
2022-06-07,1.1059025e-05,6074735059.222138,305103821.0955064
2022-06-08,1.0769025e-05,6365026557.78779,337582657.6927002
2022-06-09,1.0613693e-05,6261375866.403065,234414580.0788415
2022-06-10,1.0566937e-05,6228132971.8362465,174428944.3990217
2022-06-11,1.0129213e-05,5974809638.090517,239376678.7053612
2022-06-12,9.326067e-06,5496445508.517396,375259737.60579467
2022-06-13,8.648467e-06,5142425767.445126,477486297.4209678
2022-06-14,7.971779e-06,4671940506.675245,690920181.4544535
2022-06-15,8.218657e-06,4852624209.886621,462650752.3431768
2022-06-16,8.80355e-06,5168687203.674124,558842903.4834456
2022-06-17,7.977338e-06,4715162192.673863,366330201.852959
2022-06-18,8.176173e-06,4831166804.717695,215559537.04591835
2022-06-19,7.731325e-06,4538541105.925034,322685904.09680235
2022-06-20,8.200411e-06,4824681736.117666,315344319.22000057
2022-06-21,8.158437e-06,4813661235.574084,258385501.65620455
2022-06-22,1.0586204e-05,6185396455.355073,1839091446.7859135
2022-06-23,9.684285e-06,5705048190.3752365,1344203434.8399487
2022-06-24,1.0322318e-05,6090221982.249816,727037910.6089666
2022-06-25,1.0876509e-05,6480667389.985851,839555729.6545436
2022-06-26,1.1802682e-05,6931995805.626578,984676899.3859639
2022-06-27,1.1050794999999999e-05,6544686729.886247,677631022.6642803
2022-06-28,1.1064028e-05,6510722852.502879,540446067.6981792
2022-06-29,9.981285e-06,5883185751.251432,477414438.9676855
2022-06-30,1.0175802e-05,6004611322.890111,614298068.275781
2022-07-01,1.0181436e-05,5967996834.393285,599500706.334211
2022-07-02,1.0056149e-05,5941249189.088755,432146908.2290866
2022-07-03,1.0094524e-05,5951111617.722707,216553979.34214076
2022-07-04,1.0048933e-05,5924924963.9413595,204809054.45861173
2022-07-05,1.0505296e-05,6182637060.412847,314529786.6202844
2022-07-06,1.0315896e-05,6088830659.716057,475152971.6405881
2022-07-07,1.0470764999999999e-05,6175090007.521809,330100712.2129809
2022-07-08,1.1311771e-05,6686054623.147909,474748333.1961524
2022-07-09,1.1329358e-05,6681329123.987218,612526036.1087275
2022-07-10,1.1638942999999999e-05,6854120475.786667,454945306.03030556
2022-07-11,1.1224696e-05,6624293145.054708,363736767.7961984
2022-07-12,1.0377540999999999e-05,6119347308.968656,333042482.5779278
2022-07-13,9.998803e-06,5923454229.667505,298673950.9649724
2022-07-14,1.0531229e-05,6198402960.347786,417638532.8202249
2022-07-15,1.0628039e-05,6273822616.270163,351711398.37937695
2022-07-16,1.0850431e-05,6391448778.938945,373496296.5083056
2022-07-17,1.1015966e-05,6482780551.07325,297775695.59334224
2022-07-18,1.0778347e-05,6369419340.866747,263334786.77918264
2022-07-19,1.197182e-05,7026805758.074782,820520715.4994029
2022-07-20,1.2153386999999999e-05,7155048727.091519,874702134.0505571
2022-07-21,1.1927428e-05,7071260395.535392,1004887950.4538813
2022-07-22,1.2002207e-05,7088750356.390217,531330349.15307575
