date,year,prices,market_caps,total_volumes,v_porcentual_d
2017-09-09,2017,299.694,28329354911.608036,315515992.3564483,-1.5702438623860782
2017-09-10,2017,292.78,27681278352.42371,456818455.0948669,-2.307019826890111
2017-09-11,2017,296.475,28036287702.51409,363007787.84414524,1.262039756814004
2017-09-12,2017,290.587,27485022514.19706,583871859.8283461,-1.986002192427705
2017-09-13,2017,277.334,26236732489.431683,721738885.8360373,-4.560768375736002
2017-09-14,2017,214.312,20278768201.760014,929861557.1062983,-22.724224220614854
2017-09-15,2017,246.922,23369190516.539547,1617179859.467345,15.216133487625516
2017-09-16,2017,244.806,23173710726.76121,586258300.894896,-0.8569507779784602
2017-09-17,2017,249.667,23638636295.481937,336444511.1569665,1.985653946390209
2017-09-18,2017,287.961,27269907986.777264,935880977.9429078,15.338030256301405
2017-09-19,2017,280.446,26563613422.607845,518505103.8522604,-2.609728400720923
2017-09-20,2017,279.418,26471592194.703312,322301352.00916153,-0.36655898105161233
2017-09-21,2017,257.465,24396830727.284477,470196974.05520844,-7.85668782970318
2017-09-22,2017,263.47,24969981050.950962,343728639.336796,2.3323558541938016
2017-09-23,2017,283.222,26846246384.287216,365565238.54476005,7.496868713705518
2017-09-24,2017,280.681,26609714675.1668,473679365.7914858,-0.8971760668309625
2017-09-25,2017,288.086,27316005855.910435,367147869.49683565,2.638226313858083
2017-09-26,2017,283.929,26926232192.184574,240690671.2951268,-1.4429718903383182
2017-09-27,2017,302.152,28658972908.46477,394839374.31574607,6.418153834233209
2017-09-28,2017,294.314,27919976584.315685,344032408.65444744,-2.5940586195027593
2017-09-29,2017,288.115,27336170625.13594,401420308.2527799,-2.1062538649197826
2017-09-30,2017,297.269,28209139740.688995,234494285.9120729,3.1772035471946847
2017-10-01,2017,299.675,28442001971.008823,208656622.10220405,0.8093679462036096
2017-10-02,2017,295.84,28082506249.729813,228753338.77109602,-1.279719696337711
2017-10-03,2017,292.211,27742435562.94357,213674545.194013,-1.2266765819361702
2017-10-04,2017,293.036,27825239443.20582,167895948.31847614,0.2823302339747702
2017-10-05,2017,293.719,27894664349.155266,166289551.89366713,0.23307716458045302
2017-10-06,2017,307.709,29227935374.982,223872523.77550793,4.763055845893538
2017-10-07,2017,309.598,29412044193.592102,259031771.53758535,0.6138916963754681
2017-10-08,2017,307.058,29175396936.827038,195574551.40328008,-0.8204187365551507
2017-10-09,2017,295.901,28119791744.856277,422803467.0821769,-3.6335154921871338
2017-10-10,2017,299.917,28506074217.358105,262661724.03535348,1.3572106887100643
2017-10-11,2017,303.247,28827311270.280365,179994094.52122995,1.1103071849878576
2017-10-12,2017,302.02,28715264952.728848,389123581.441959,-0.40462065576907236
2017-10-13,2017,337.953,32136884949.300323,1062936136.5475445,11.897556453215019
2017-10-14,2017,335.338,31893398413.31946,384671082.3691576,-0.7737762351569422
2017-10-15,2017,335.391,31903683068.492874,513925811.79312485,0.01580494903650198
2017-10-16,2017,331.967,31583306698.85391,536987705.5520873,-1.020897996666592
2017-10-17,2017,317.898,30251186909.138367,368660409.98234016,-4.238071856539949
2017-10-18,2017,314.457,29930081747.853603,459286354.2531358,-1.082422663873328
2017-10-19,2017,308.475,29366946306.63264,251750069.63289016,-1.9023268682204497
2017-10-20,2017,302.356,28790749976.831596,270984512.97597694,-1.983629143366572
2017-10-21,2017,300.694,28638437008.879925,291385148.2978586,-0.5496831549564041
2017-10-22,2017,295.488,28148745034.196087,227830530.53531405,-1.7313281941109593
2017-10-23,2017,289.414,27575920805.165585,357572834.9115806,-2.055582629413044
2017-10-24,2017,298.756,28472255904.29292,522634263.28484994,3.2279018983186747
2017-10-25,2017,298.484,28452391049.617855,224745395.63136017,-0.09104419660190821
2017-10-26,2017,295.708,28192911056.673782,175211825.16558704,-0.9300331006016904
2017-10-27,2017,297.929,28411617292.93479,165062612.7639997,0.7510787668916441
2017-10-28,2017,296.465,28278036785.292797,178675171.42583302,-0.4913922444609309
2017-10-29,2017,303.741,28978234226.357674,400151389.4858402,2.4542526099202266
2017-10-30,2017,306.249,29223725935.84833,245646777.54787138,0.82570347763391
2017-10-31,2017,303.542,28971625622.98315,275058601.9442181,-0.8839212536204344
2017-11-01,2017,292.331,27907457658.55725,343876003.8559511,-3.6933933360127957
2017-11-02,2017,287.07,27411044537.063046,727168619.8327091,-1.799672289288523
2017-11-03,2017,305.843,29209850779.092915,493531953.8114265,6.539519977705788
2017-11-04,2017,299.955,28653533860.136066,317726072.07408786,-1.9251707575455468
2017-11-05,2017,297.517,28426818646.719738,250477635.77464697,-0.8127885849544048
2017-11-06,2017,301.371,28801102723.032696,472946830.30819535,1.2953881626932118
2017-11-07,2017,295.235,28220768686.35795,415882643.8192555,-2.0360286822554197
2017-11-08,2017,308.934,29536454012.04308,755752328.1239891,4.6400325164699385
2017-11-09,2017,322.33,30823742534.2921,691815366.2495632,4.336201259815997
2017-11-10,2017,301.355,28824163917.314198,650505791.3247348,-6.507306176899441
2017-11-11,2017,316.258,30256030132.159668,618676053.5502169,4.9453302583331915
2017-11-12,2017,314.166,30062176933.46014,1172943695.0944433,-0.6614852430610441
2017-11-13,2017,315.344,30181430682.324654,783366133.855764,0.3749610078748189
2017-11-14,2017,338.938,32446360785.0723,507718197.434228,7.48198792429855
2017-11-15,2017,334.287,32007998528.5458,518053273.608587,-1.3722273690173425
2017-11-16,2017,330.021,31606240405.8994,540577805.468288,-1.276148937888688
2017-11-17,2017,333.351,31931961399.8328,408873409.223705,1.0090266983010077
2017-11-18,2017,348.747,33413835153.7437,437969175.189351,4.618555216573528
2017-11-19,2017,353.436,33870265876.0073,892315491.355752,1.3445276948618856
2017-11-20,2017,365.787,35061352161.7675,511630930.906117,3.494550640002725
2017-11-21,2017,361.056,34615252499.3341,667087478.419292,-1.2933756530439822
2017-11-22,2017,379.409,36382569909.3727,502690893.802197,5.0831449968979925
2017-11-23,2017,412.558,39569679447.7058,1357607759.02526,8.737009401463848
2017-11-24,2017,475.002,45568623853.9817,1710984791.93773,15.135811207151484
2017-11-25,2017,467.446,44853255083.9293,1062451148.98556,-1.590730144294128
2017-11-26,2017,468.998,45011721609.851,848847109.547722,0.33201696024780514
2017-11-27,2017,484.363,46496118377.9175,982703877.999528,3.276133373703094
2017-11-28,2017,474.183,45528555887.0189,640921145.689493,-2.101729488007964
2017-11-29,2017,428.345,41136242461.6215,1864835257.85043,-9.6667320422706
2017-11-30,2017,454.161,43624717838.8218,1302713009.05289,6.026917554774758
2017-12-01,2017,469.863,45142640782.4465,731926955.703011,3.4573642386730663
2017-12-02,2017,469.857,45151510929.4977,571377802.810273,-0.0012769679672564038
2017-12-03,2017,461.88,44394413397.1167,513723192.525671,-1.6977505922014635
2017-12-04,2017,472.253,45400977761.2147,559902818.597381,2.245821425478467
2017-12-05,2017,467.017,44907252844.2554,590010796.38345,-1.10872773703925
2017-12-06,2017,448.328,43118585011.2992,5911434.14179457,-4.001781519730551
2017-12-07,2017,451.826,43465282557.5874,968306459.942749,0.7802323299013425
2017-12-08,2017,467.882,45019411221.6764,1578944197.85945,3.5535803605812877
2017-12-09,2017,482.036,46391200044.4373,1109058208.5207,3.0251217187239554
2017-12-10,2017,446.691,42998769813.0645,900203443.334746,-7.332439900754306
2017-12-11,2017,509.001,49007073662.9809,1035160071.24411,13.949240078712123
2017-12-12,2017,661.841,63736319679.7109,3691983511.74634,30.027445918573846
2017-12-13,2017,709.883,68377310760.8715,2717113879.86409,7.258843136040238
2017-12-14,2017,704.622,67885165267.6573,2551109082.71176,-0.74110804174774
2017-12-15,2017,693.097,66789398252.0671,1942292719.83027,-1.6356287484637133
2017-12-16,2017,702.245,67685238860.8431,1323743950.88971,1.3198729759326566
2017-12-17,2017,728.7,70249967413.1925,1297439773.48386,3.7672037536757186
2017-12-18,2017,798.115,76958112624.052,2104028876.27651,9.525867984081238
2017-12-19,2017,829.989,80048859677.1559,2383800980.37899,3.9936600615199547
2017-12-20,2017,813.404,78466047306.039,2174389927.16457,-1.9982192535081822
2017-12-21,2017,812.885,78432622738.5783,1886649146.02117,-0.06380593161577908
2017-12-22,2017,669.276,64585322053.99,2635463381.90133,-17.666582603935368
2017-12-23,2017,715.719,69087031853.6697,1292257943.85486,6.93928962042567
2017-12-24,2017,686.208,66252429575.9089,1224218821.95787,-4.123266253934865
2017-12-25,2017,733.903,70871970751.0918,1242520658.38317,6.950516461481082
2017-12-26,2017,774.11,74770905370.1416,1046697072.25852,5.478516915723186
2017-12-27,2017,764.967,73903417373.3621,910830156.598811,-1.1810982935241854
2017-12-28,2017,736.84,71200955427.2237,1012380621.45529,-3.67689063711244
2017-12-29,2017,755.344,73004412362.8661,1172554374.08768,2.5112643178980543
2017-12-30,2017,736.909,71238101432.8975,1306193221.81905,-2.4406098413438215
2017-12-31,2017,774.696,74906560027.8485,1127368142.17048,5.127770186006697
2018-01-01,2018,776.08,75056629369.4547,1101627635.65143,0.17865072234786172
2018-01-02,2018,876.89,84822222588.5437,2720973272.07018,12.989640243273893
2018-01-03,2018,963.056,93178531120.43204,2308657205.9772067,9.826318010240742
2018-01-04,2018,978.416,94681149308.52457,2756635496.077742,1.5949228289943607
2018-01-05,2018,1004.895,97269228886.25314,2894788528.9368753,2.706313061111021
2018-01-06,2018,1052.023,101852997666.87328,1824841952.503006,4.689843217450562
2018-01-07,2018,1137.655,110167827718.61086,2286423001.2638764,8.13974599414653
2018-01-08,2018,1184.924,114769005376.76157,4813539670.332469,4.1549503144626465
2018-01-09,2018,1361.44,131894965357.881,4248463429.84743,14.896820386792742
2018-01-10,2018,1345.588,130387621608.28636,5901388488.269492,-1.1643553884122748
2018-01-11,2018,1181.651,114526940296.8931,3701485302.9898286,-12.183298305276203
2018-01-12,2018,1315.619,127538307119.98058,2569674473.5809693,11.337357646208556
2018-01-13,2018,1448.18,140419500475.92773,3149029707.9682436,10.075941438972835
2018-01-14,2018,1410.0,136747164703.8492,2771837301.4899707,-2.6364126006435673
2018-01-15,2018,1329.671,128980953671.9811,2438212396.6501827,-5.697092198581554
2018-01-16,2018,1068.6,103677753320.31013,5197858118.489889,-19.634255390995225
2018-01-17,2018,1022.365,99216267384.45854,5505023202.5208645,-4.326689125959193
2018-01-18,2018,1036.072,100567876886.70789,3220457431.1306267,1.3407149110151284
2018-01-19,2018,1046.899,101640355096.62448,2067139497.7426836,1.0450045942753006
2018-01-20,2018,1172.917,113899479853.58607,1927757662.931302,12.037264339730957
2018-01-21,2018,1053.633,102337202453.45827,1834167990.4392762,-10.169858566292401
2018-01-22,2018,1000.387,97186332455.0951,2128266201.553245,-5.053562293512082
2018-01-23,2018,991.665,96359326865.87158,2162095341.3385787,-0.8718625891779852
2018-01-24,2018,1056.879,102717867498.02875,1871168506.347743,6.576212733130649
2018-01-25,2018,1059.315,102976145173.28937,2098100041.2531192,0.2304899614809397
2018-01-26,2018,1048.799,101975238868.2182,2126139932.407397,-0.9927169916408296
2018-01-27,2018,1095.783,106559849459.01985,1592501816.2673755,4.479790693927055
2018-01-28,2018,1237.324,120356395893.4201,3105991887.223209,12.916882265923114
2018-01-29,2018,1169.634,113796120454.081,2005499364.9335327,-5.470677041744931
2018-01-30,2018,1161.909,113043826616.74722,2006770995.7220535,-0.6604630166359704
2018-01-31,2018,1058.096,102965815556.0668,2570454739.6687236,-8.934692820177837
2018-02-01,2018,1106.138,107663538775.87933,2148302756.922482,4.540419772875048
2018-02-02,2018,1021.269,99423764457.44884,3414246407.713859,-7.672550802883538
2018-02-03,2018,914.639,89061856063.48083,4640850229.358906,-10.440931821097088
