date,prices,market_caps,total_volumes
2020-12-17,0.12090000000000001,148533348.89953634,99100231.87818454
2020-12-18,0.12090000000000001,148533348.89953634,99100231.87818454
2020-12-19,0.26130000000000003,316635793.9194058,1187285985.1160254
2020-12-20,0.4827,582798809.899085,2873036070.0097394
2020-12-21,0.7498,901632901.026967,3232031697.552304
2020-12-22,0.4802,577508741.1402067,1574338838.171103
2020-12-23,0.5343,654517068.0983934,1544176097.8442385
2020-12-24,0.4086,516332242.92339766,893506967.4326954
2020-12-25,0.4126,501062453.30416423,601857032.8247623
2020-12-26,0.3573,444295979.4638916,346732128.8827368
2020-12-27,0.48310000000000003,587413059.5586258,713404684.7116833
2020-12-28,0.39630000000000004,483938259.6802182,604972693.8725318
2020-12-29,0.382,471107660.7265802,402796608.965864
2020-12-30,0.37110000000000004,446226899.1669494,255307479.9184739
2020-12-31,0.3748,461509269.9330805,246013107.50424957
2021-01-01,0.3508,429990212.63158315,136629996.2604435
2021-01-02,0.36260000000000003,443664944.1979385,178326296.517867
2021-01-03,0.3279,399666458.1085417,147592252.43533462
2021-01-04,0.2972,369799836.48396796,233276108.89838794
2021-01-05,0.3009,368971702.87880087,222891755.03301105
2021-01-06,0.33430000000000004,409181587.03700656,234111131.97481382
2021-01-07,0.3708,459045307.95562315,382565726.2084338
2021-01-08,0.34750000000000003,424344646.29718494,306238131.503078
2021-01-09,0.3297,403865136.5683111,210631548.70215693
2021-01-10,0.3503,432094381.74239373,185079997.35675043
2021-01-11,0.3281,400968791.67887783,189234198.4855477
2021-01-12,0.2902,354423042.43226254,184921245.87681353
2021-01-13,0.2763,338041139.2607624,91697826.92143722
2021-01-14,0.3267,399420524.5758694,161164098.27346185
2021-01-15,0.33380000000000004,407302298.68955016,175630396.7636033
2021-01-16,0.3382,415520594.2876502,253890051.86348623
2021-01-17,0.4691,574246496.3193585,585819492.2716296
2021-01-18,0.5248,653914358.2801067,708053439.7842886
2021-01-19,0.6186,764038641.3393757,842315119.2823333
2021-01-20,0.5392,659083306.0467894,492657025.8724178
2021-01-21,0.5244,637036288.7513814,339807859.1037395
2021-01-22,0.4403,545805085.893474,274281399.7657848
2021-01-23,0.5093,626727349.1872367,402162106.4262325
2021-01-24,0.5856,711542155.2265086,375325255.5679769
2021-01-25,0.5574,683754466.486257,291696424.0405546
2021-01-26,0.5314,653233876.9412552,228050410.8034387
2021-01-27,0.5364,657517731.293615,187952241.91691747
2021-01-28,0.48660000000000003,592958346.5431087,176201287.505049
