date,year,prices,market_caps,total_volumes,v_porcentual_d,MM65
2022-03-22,2022,0.41400000000000003,2552235131.684663,195940230.37766474,6.126634196359926,0.4100630769230769
2022-03-23,2022,0.4096,2520285555.608231,192100165.2277435,-1.0628019323671523,0.40730307692307693
2022-03-24,2022,0.4242,2611001377.142193,140468079.92132917,3.564453125,0.40538153846153846
2022-03-25,2022,0.43620000000000003,2687702025.385293,136995640.5212993,2.8288543140028377,0.4039169230769231
2022-03-26,2022,0.40940000000000004,2520823082.005526,173645891.0308875,-6.1439706556625335,0.4021476923076923
2022-03-27,2022,0.4106,2535577319.595597,89312341.5235175,0.2931118710307823,0.4007753846153846
2022-03-28,2022,0.4297,2640648585.120624,119063555.76212849,4.651729176814423,0.4007184615384616
2022-03-29,2022,0.43570000000000003,2934151422.5752525,304278621.3013622,1.3963230160577211,0.4010169230769231
2022-03-30,2022,0.4897,3257614903.4412265,324269301.6224842,12.393848978655031,0.4021753846153846
2022-03-31,2022,0.4806,3226330854.3774834,258297322.8919928,-1.8582805799469027,0.4035184615384616
2022-04-01,2022,0.4696,3123937330.3095255,309982096.0789635,-2.2888056595921746,0.40435230769230773
2022-04-02,2022,0.4843,3237892083.1349926,379844812.1746441,3.1303236797274314,0.4055846153846154
2022-04-03,2022,0.5116,3467655888.6821394,753039174.1277566,5.637001858352275,0.40721846153846153
2022-04-04,2022,0.5169,3458174620.075767,403797015.41272366,1.0359655981235338,0.40879076923076924
2022-04-05,2022,0.49350000000000005,3305897074.240178,328481003.9712398,-4.526987811955885,0.41007076923076924
2022-04-06,2022,0.46030000000000004,3119532714.803651,220835314.76389554,-6.727456940222898,0.4110046153846154
2022-04-07,2022,0.41240000000000004,2790706717.412782,284725711.8681185,-10.406256789050616,0.4110353846153846
2022-04-08,2022,0.432,2897608846.0195065,190871793.56255767,4.75266731328805,0.41091076923076925
2022-04-09,2022,0.3945,2617747754.382558,221335427.30359808,-8.680555555555546,0.41073692307692317
2022-04-10,2022,0.40640000000000004,2718713433.4909987,125004465.52047952,3.016476552598224,0.41074923076923076
2022-04-11,2022,0.3869,2608862868.037271,136463859.87259918,-4.7982283464567015,0.40993538461538465
2022-04-12,2022,0.3473,2328420635.087559,199518950.72911176,-10.235202894804862,0.4083615384615385
2022-04-13,2022,0.3738,2494064278.9648314,181663095.95133752,7.630290814857488,0.4068338461538462
2022-04-14,2022,0.38370000000000004,2573048092.8238955,161052494.86130518,2.648475120385241,0.4049507692307693
2022-04-15,2022,0.364,2436587604.376218,139518894.91449112,-5.1342194422726255,0.4032446153846154
2022-04-16,2022,0.36910000000000004,2478291557.8412027,87786978.30749603,1.4010989010989183,0.40141846153846156
2022-04-17,2022,0.3635,2438218010.23339,74538050.76982082,-1.51720400975347,0.3999046153846154
2022-04-18,2022,0.3498,2332499134.9154553,74265011.42813873,-3.7689133425034327,0.3988507692307693
2022-04-19,2022,0.3623,2421773010.346031,129907990.60642298,3.5734705546026424,0.39798153846153844
2022-04-20,2022,0.36210000000000003,2425440593.261402,120341114.52911168,-0.05520287054926465,0.3972615384615385
2022-04-21,2022,0.36260000000000003,2426297800.686785,197780193.91116723,0.13808340237504435,0.39660000000000006
2022-04-22,2022,0.3541,2448273690.668391,297131191.35839504,-2.344180915609484,0.3944769230769231
2022-04-23,2022,0.3539,2451103149.039816,141426334.03015372,-0.056481219994364285,0.39242615384615387
2022-04-24,2022,0.3546,2462674868.017264,89128080.55707127,0.19779598756712868,0.39116461538461544
2022-04-25,2022,0.3574,2493592326.5318027,102305371.3119396,0.7896221094190636,0.39029846153846154
2022-04-26,2022,0.359,2473997620.7741103,176868224.32389998,0.44767767207609666,0.3893861538461539
2022-04-27,2022,0.3383,2345101541.6699,464221707.8765036,-5.7660167130919255,0.38852615384615385
2022-04-28,2022,0.3667,2535824752.377574,217402251.27871612,8.394915755246824,0.38866923076923077
2022-04-29,2022,0.3594,2476879104.93213,414391274.4252319,-1.9907281156258616,0.38829846153846154
2022-04-30,2022,0.34950000000000003,2409499253.6610365,246750178.92705005,-2.7545909849749473,0.3882
2022-05-01,2022,0.3098,2132709380.1205761,213450403.4971777,-11.359084406294706,0.3874307692307693
2022-05-02,2022,0.3164,2188965006.7091427,169309165.4132824,2.1304067140090366,0.3867523076923077
2022-05-03,2022,0.3083,2128972009.9264963,135288606.818189,-2.5600505689001296,0.38614923076923074
2022-05-04,2022,0.3196,2216548399.961507,164142574.32805547,3.6652611093091148,0.38586769230769236
2022-05-05,2022,0.3393,2388442568.139042,188526272.0946343,6.163954943679606,0.38529230769230777
2022-05-06,2022,0.3025,2072972290.8456674,226157587.23445514,-10.84585912172119,0.38416
2022-05-07,2022,0.2967,2054025352.751641,141975325.23323107,-1.9173553719008196,0.3829738461538462
2022-05-08,2022,0.2933,2035466780.9840932,108342932.94274513,-1.1459386585776943,0.3818615384615385
2022-05-09,2022,0.2988,2078019144.375021,171681412.0008907,1.8752130923968657,0.3812323076923077
2022-05-10,2022,0.2409,1685401694.8474817,169946095.7739087,-19.37751004016064,0.3795892307692308
2022-05-11,2022,0.2462,1701517424.5379732,257468391.39591408,2.2000830220008316,0.37830461538461546
2022-05-12,2022,0.15130000000000002,1068161360.9155415,335325497.31331724,-38.545897644191705,0.37555076923076924
2022-05-13,2022,0.1346,941413272.2369835,199181520.36992133,-11.037673496364853,0.37246615384615384
2022-05-14,2022,0.1487,1036592126.9925888,140147383.43289998,10.475482912332845,0.36941538461538465
2022-05-15,2022,0.1935,1306939265.4790332,227917585.41160232,30.12777404169469,0.3673753846153846
2022-05-16,2022,0.19940000000000002,1376104739.8166423,273799076.2466011,3.0490956072351416,0.3655261538461539
2022-05-17,2022,0.17300000000000001,1191054877.0082824,143822581.16022077,-13.239719157472418,0.36327076923076923
2022-05-18,2022,0.1802,1248725989.1293523,140412744.259531,4.161849710982657,0.36088
2022-05-19,2022,0.1572,1092844773.3010652,113893138.24252649,-12.763596004439503,0.35767076923076924
2022-05-20,2022,0.1618,1122544969.2411587,91834656.68578263,2.9262086513994756,0.35364153846153845
2022-05-21,2022,0.1514,1047932427.105855,77440408.11939904,-6.427688504326323,0.3489938461538462
2022-05-22,2022,0.1583,1098764217.4170418,64233461.05101706,4.5574636723910045,0.34512769230769236
2022-05-23,2022,0.16340000000000002,1131713321.6052198,67159453.23923133,3.2217308907138476,0.34129846153846155
2022-05-24,2022,0.15460000000000002,1071650246.8353558,82361810.50484711,-5.385556915544676,0.33736153846153843
2022-05-25,2022,0.155,1071083289.649557,105390224.19657272,0.2587322121603952,0.3337446153846154
2022-05-26,2022,0.1509,1045889558.3080542,87611842.00876342,-2.645161290322573,0.3296969230769231
2022-05-27,2022,0.13920000000000002,963927160.538113,104578932.16843991,-7.7534791252484965,0.32553692307692306
2022-05-28,2022,0.13540000000000002,932513388.469152,83481538.23850568,-2.7298850574712596,0.3210938461538462
2022-05-29,2022,0.1378,959484765.3972691,47077457.8872952,1.7725258493352936,0.3165030769230769
2022-05-30,2022,0.1423,986498173.9711626,42705421.850995354,3.265602322206096,0.3123938461538462
2022-05-31,2022,0.1568,1081055584.4137914,84424811.15221223,10.189739985945167,0.30848923076923085
2022-06-01,2022,0.1626,1131982397.4539816,92827522.5595086,3.6989795918367374,0.30438000000000004
2022-06-02,2022,0.148,1027030122.3035349,107822207.54237999,-8.979089790897909,0.2999538461538461
2022-06-03,2022,0.1522,1055707673.6535107,59064441.67867862,2.837837837837842,0.29476153846153846
2022-06-04,2022,0.14830000000000002,1087558960.867069,42799275.971009985,-2.562417871222067,0.28964923076923077
2022-06-05,2022,0.16540000000000002,1222093150.6192598,173133702.2847709,11.530681051921787,0.28496923076923075
2022-06-06,2022,0.15610000000000002,1161045797.045814,76265988.12597947,-5.622732769044736,0.27992
2022-06-07,2022,0.15860000000000002,1178233355.1757495,70577363.87752637,1.601537475976933,0.2744892307692308
2022-06-08,2022,0.1554,1155299789.606778,75924067.76457423,-2.0176544766708715,0.2689276923076923
2022-06-09,2022,0.14850000000000002,1099186155.3045464,54602568.16996251,-4.440154440154432,0.26362
2022-06-10,2022,0.1479,1091688688.9599965,45021108.730052255,-0.40404040404041774,0.25881384615384617
2022-06-11,2022,0.1373,1016300623.5420887,64565193.634591736,-7.167004732927651,0.25458153846153847
2022-06-12,2022,0.1226,903576870.861231,69146966.75931412,-10.706482155863073,0.24982153846153843
2022-06-13,2022,0.11220000000000001,840332627.226634,79490754.50695077,-8.482871125611736,0.24547846153846156
2022-06-14,2022,0.1052,774573046.8464466,130299845.92677289,-6.238859180035661,0.24084461538461538
2022-06-15,2022,0.1056,780212343.8040997,103433294.69236402,0.3802281368821214,0.2365169230769231
2022-06-16,2022,0.1116,827279959.8901405,99422912.07909815,5.681818181818188,0.23289076923076923
2022-06-17,2022,0.0974,719367626.4429016,51101748.650239356,-12.724014336917566,0.22863846153846157
2022-06-18,2022,0.0989,734036312.4759153,36315745.29089275,1.5400410677617993,0.22425692307692308
2022-06-19,2022,0.0994,731324095.9989125,67152603.22755755,0.5055611729019249,0.22018615384615386
2022-06-20,2022,0.10300000000000001,760922974.8210098,54975765.00667104,3.621730382293764,0.2160923076923077
2022-06-21,2022,0.10450000000000001,774845345.5218635,55434611.11765493,1.4563106796116498,0.21210769230769233
2022-06-22,2022,0.10940000000000001,810265068.3298905,74622301.70501475,4.688995215311009,0.2084092307692308
